experiment_id	id
Chromosome	xy04_33_14.184-26.087
Chromosome	xy04_34_10.204-34.148
Chromosome	xy04_34_14.196-33.104
Chromosome	xy04_35_10.134-34.152
Chromosome	xy04_35_13.151-17.088
Chromosome	xy04_36_10.196-34.153
Chromosome	xy04_37_10.211-34.154
Chromosome	xy04_38_10.237-34.156
Chromosome	xy04_38_12.276-18.228
Chromosome	xy04_38_13.270-34.237
Chromosome	xy04_38_14.256-34.266
Chromosome	xy04_38_15.229-26.109
Chromosome	xy04_39_10.183-34.163
Chromosome	xy04_39_12.187-33.247
Chromosome	xy04_4_10.137-34.003
Chromosome	xy04_40_10.208-34.169
Chromosome	xy04_41_10.264-34.189
Chromosome	xy04_41_15.239-22.145
Chromosome	xy04_42_10.182-34.228
Chromosome	xy04_42_12.186-21.131
Chromosome	xy04_43_10.255-34.233
Chromosome	xy04_44_10.213-34.240
Chromosome	xy04_44_13.229-17.189
Chromosome	xy04_45_10.233-34.264
Chromosome	xy04_45_11.220-21.130
Chromosome	xy04_45_12.236-19.193
Chromosome	xy04_45_14.230-20.147
Chromosome	xy04_46_10.200-34.274
Chromosome	xy04_47_10.172-33.216
Chromosome	xy04_48_10.259-33.223
Chromosome	xy04_49_10.293-33.248
Chromosome	xy04_49_15.302-19.223
Chromosome	xy04_5_10.108-34.004
Chromosome	xy04_50_10.241-33.257
Chromosome	xy04_50_11.256-28.175
Chromosome	xy04_50_14.292-19.191
Chromosome	xy04_51_10.017-32.056
Chromosome	xy04_51_13.027-17.015
Chromosome	xy04_51_14.023-17.022
Chromosome	xy04_52_10.232-32.267
Chromosome	xy04_53_10.281-32.277
Chromosome	xy04_53_12.307-21.136
Chromosome	xy04_53_15.291-17.269
Chromosome	xy04_54_10.128-30.086
Chromosome	xy04_55_10.113-30.095
Chromosome	xy04_55_11.099-20.051
Chromosome	xy04_55_15.083-17.053
Chromosome	xy04_56_10.235-30.222
Chromosome	xy04_57_10.122-28.012
Chromosome	xy04_57_15.089-19.043
Chromosome	xy04_58_10.142-27.004
Chromosome	xy04_58_11.117-21.047
Chromosome	xy04_59_10.175-27.059
Chromosome	xy04_59_13.182-23.075
Chromosome	xy04_6_10.120-34.005
Chromosome	xy04_6_11.092-19.022
Chromosome	xy04_60_10.192-27.175
Chromosome	xy04_61_10.257-27.190
Chromosome	xy04_62_10.129-26.002
Chromosome	xy04_63_10.086-26.003
Chromosome	xy04_64_10.258-26.146
Chromosome	xy04_65_10.199-26.157
Chromosome	xy04_66_10.248-26.158
Chromosome	xy04_67_10.135-25.049
Chromosome	xy04_68_10.189-25.077
Chromosome	xy04_69_10.229-25.094
Chromosome	xy04_69_14.253-19.162
Chromosome	xy04_7_10.070-34.007
Chromosome	xy04_70_10.102-24.011
Chromosome	xy04_70_15.081-17.069
Chromosome	xy04_71_10.107-24.033
Chromosome	xy04_72_10.153-24.066
Chromosome	xy04_73_10.196-24.088
Chromosome	xy04_74_10.150-24.095
Chromosome	xy04_75_10.209-24.113
Chromosome	xy04_76_10.297-24.136
Chromosome	xy04_77_10.250-24.137
Chromosome	xy04_78_10.045-23.000
Chromosome	xy04_78_11.027-20.018
Chromosome	xy04_78_13.074-17.052
Chromosome	xy04_79_10.139-23.034
Chromosome	xy04_79_14.128-21.031
Chromosome	xy04_8_10.072-34.019
Chromosome	xy04_8_11.048-19.005
Chromosome	xy04_80_10.186-23.074
Chromosome	xy04_81_10.189-23.088
Chromosome	xy04_81_13.209-18.144
Chromosome	xy04_82_10.279-23.119
Chromosome	xy04_83_10.247-23.126
Chromosome	xy04_83_15.255-19.186
Chromosome	xy04_84_10.254-23.143
Chromosome	xy04_84_13.287-19.176
Chromosome	xy04_84_15.266-19.199
Chromosome	xy04_85_10.092-22.000
Chromosome	xy04_85_15.079-19.041
Chromosome	xy04_86_10.034-22.001
Chromosome	xy04_86_14.017-18.005
Chromosome	xy04_87_10.019-22.010
Chromosome	xy04_87_12.013-18.003
Chromosome	xy04_88_10.073-22.011
Chromosome	xy04_89_10.115-22.031
Chromosome	xy04_89_15.077-17.081
Chromosome	xy04_9_10.055-34.025
Chromosome	xy04_90_10.144-22.040
Chromosome	xy04_91_10.036-21.000
Chromosome	xy04_91_11.020-19.007
Chromosome	xy04_91_12.018-18.000
Chromosome	xy04_91_15.004-17.008
Chromosome	xy04_92_10.103-21.004
Chromosome	xy04_93_10.028-21.005
Chromosome	xy04_93_12.030-17.031
Chromosome	xy04_94_10.099-21.041
Chromosome	xy04_95_10.106-21.056
Chromosome	xy04_96_10.165-21.076
Chromosome	xy04_97_10.236-21.122
Chromosome	xy04_98_10.212-21.124
Chromosome	xy04_99_10.216-21.134
Chromosome	xy04_99_14.222-20.124
Chromosome	xy05_1_10.090-34.000
Chromosome	xy05_1_11.094-20.125
Chromosome	xy05_1_14.121-19.120
Chromosome	xy05_1_15.097-34.046
Chromosome	xy05_10_10.092-34.022
Chromosome	xy05_10_12.106-19.095
Chromosome	xy05_10_14.084-18.095
Chromosome	xy05_10_14.090-18.112
Chromosome	xy05_100_10.106-20.108
Chromosome	xy05_101_10.125-20.120
Chromosome	xy05_101_14.141-19.118
Chromosome	xy05_102_10.178-20.155
Chromosome	xy05_103_10.174-20.163
Chromosome	xy05_103_15.181-17.164
Chromosome	xy05_104_10.179-20.177
Chromosome	xy05_105_10.210-20.231
Chromosome	xy05_105_12.283-18.276
Chromosome	xy05_106_10.204-20.243
Chromosome	xy05_107_10.228-20.252
Chromosome	xy05_108_10.212-20.253
Chromosome	xy05_109_10.037-19.001
Chromosome	xy05_11_10.136-34.028
Chromosome	xy05_110_10.027-19.005
Chromosome	xy05_111_10.021-19.009
Chromosome	xy05_112_10.133-19.084
Chromosome	xy05_113_10.104-19.102
Chromosome	xy05_113_14.100-19.106
Chromosome	xy05_114_10.088-19.107
Chromosome	xy05_115_10.206-19.226
Chromosome	xy05_116_10.168-19.229
Chromosome	xy05_117_10.192-19.246
Chromosome	xy05_117_14.234-17.235
